Country,ISO3,Year,Temp_Change
"Estonia, Rep. of",EST,2014,2.403
Finland,FIN,2014,2.584
France,FRA,2014,1.965
Germany,DEU,2014,2.506
Greece,GRC,2014,1.028
Hungary,HUN,2014,2.232
Iceland,ISL,2014,1.737
Ireland,IRL,2014,1.424
Italy,ITA,2014,1.573
Japan,JPN,2014,0.516
"Kazakhstan, Rep. of",KAZ,2014,0.669
"Korea, Rep. of",KOR,2014,1.027
Latvia,LVA,2014,2.284
Liechtenstein,LIE,2014,2.239
Lithuania,LTU,2014,2.196
Luxembourg,LUX,2014,2.452
Malta,MLT,2014,1.472
"Netherlands, The",NLD,2014,2.548
New Zealand,NZL,2014,0.475
Norway,NOR,2014,2.441
"Poland, Rep. of",POL,2014,2.32
Portugal,PRT,2014,1.308
Romania,ROU,2014,1.548
Russian Federation,RUS,2014,1.749
Slovak Rep.,SVK,2014,2.315
"Slovenia, Rep. of",SVN,2014,2.474
Spain,ESP,2014,1.517
Sweden,SWE,2014,2.711
Switzerland,CHE,2014,2.128
Turkey,TUR,2014,1.29
Ukraine,UKR,2014,1.691
United Kingdom,GBR,2014,1.739
United States,USA,2014,0.5
World,WLD,2014,1.042
Australia,AUS,2015,1.062
Austria,AUT,2015,2.183
"Belarus, Rep. of",BLR,2015,2.211
Belgium,BEL,2015,1.35
Brazil,BRA,2015,1.587
Bulgaria,BGR,2015,1.458
Canada,CAN,2015,1.222
"China, P.R.: Mainland",CHN,2015,1.279
"Croatia, Rep. of",HRV,2015,1.933
Cyprus,CYP,2015,1.184
Czech Rep.,CZE,2015,2.112
Denmark,DNK,2015,1.523
"Estonia, Rep. of",EST,2015,2.344
Finland,FIN,2015,2.605
France,FRA,2015,1.513
Germany,DEU,2015,1.658
Greece,GRC,2015,0.889
Hungary,HUN,2015,2.092
Iceland,ISL,2015,0.494
Ireland,IRL,2015,0.51
Italy,ITA,2015,1.647
Japan,JPN,2015,0.789
"Kazakhstan, Rep. of",KAZ,2015,1.605
"Korea, Rep. of",KOR,2015,0.953
Latvia,LVA,2015,2.126
Liechtenstein,LIE,2015,2.043
Lithuania,LTU,2015,2.063
Luxembourg,LUX,2015,1.498
Malta,MLT,2015,1.455
"Netherlands, The",NLD,2015,1.269
New Zealand,NZL,2015,0.497
Norway,NOR,2015,1.818
"Poland, Rep. of",POL,2015,1.97
Portugal,PRT,2015,1.362
Romania,ROU,2015,1.798
Russian Federation,RUS,2015,2.241
Slovak Rep.,SVK,2015,2.099
"Slovenia, Rep. of",SVN,2015,2.171
Spain,ESP,2015,1.432
Sweden,SWE,2015,2.081
Switzerland,CHE,2015,1.925
Turkey,TUR,2015,0.777
Ukraine,UKR,2015,2.047
United Kingdom,GBR,2015,0.629
United States,USA,2015,1.525
World,WLD,2015,1.406
Australia,AUS,2016,1.145
Austria,AUT,2016,2.111
"Belarus, Rep. of",BLR,2016,2.168
Belgium,BEL,2016,1.861
Brazil,BRA,2016,1.477
Bulgaria,BGR,2016,1.932
Canada,CAN,2016,2.376
"China, P.R.: Mainland",CHN,2016,1.305
"Croatia, Rep. of",HRV,2016,1.843
Cyprus,CYP,2016,1.561
Czech Rep.,CZE,2016,2.067
Denmark,DNK,2016,1.856
"Estonia, Rep. of",EST,2016,1.895
Finland,FIN,2016,2.142
France,FRA,2016,1.689
Germany,DEU,2016,1.971
Greece,GRC,2016,1.584
Hungary,HUN,2016,1.923
Iceland,ISL,2016,1.485
Ireland,IRL,2016,1.098
Italy,ITA,2016,1.649
Japan,JPN,2016,1.274
"Kazakhstan, Rep. of",KAZ,2016,2.24
"Korea, Rep. of",KOR,2016,1.609
Latvia,LVA,2016,1.905
Liechtenstein,LIE,2016,2.022
Lithuania,LTU,2016,1.913
Luxembourg,LUX,2016,1.849
Malta,MLT,2016,1.721
"Netherlands, The",NLD,2016,1.914
New Zealand,NZL,2016,1.13
Norway,NOR,2016,1.745
"Poland, Rep. of",POL,2016,2.01
Portugal,PRT,2016,1.677
Romania,ROU,2016,1.883
Russian Federation,RUS,2016,2.454
Slovak Rep.,SVK,2016,1.925
"Slovenia, Rep. of",SVN,2016,2.091
Spain,ESP,2016,1.642
Sweden,SWE,2016,1.85
Switzerland,CHE,2016,1.806
Turkey,TUR,2016,1.547
Ukraine,UKR,2016,2.09
United Kingdom,GBR,2016,1.175
United States,USA,2016,2.219
World,WLD,2016,1.658
Australia,AUS,2017,1.122
Austria,AUT,2017,1.753
"Belarus, Rep. of",BLR,2017,1.562
Belgium,BEL,2017,1.695
Brazil,BRA,2017,1.375
Bulgaria,BGR,2017,0.987
Canada,CAN,2017,1.481
"China, P.R.: Mainland",CHN,2017,1.566
"Croatia, Rep. of",HRV,2017,1.562
Cyprus,CYP,2017,0.844
Czech Rep.,CZE,2017,1.585
Denmark,DNK,2017,1.624
"Estonia, Rep. of",EST,2017,1.474
Finland,FIN,2017,1.477
France,FRA,2017,1.682
Germany,DEU,2017,1.636
Greece,GRC,2017,0.65
Hungary,HUN,2017,1.373
Iceland,ISL,2017,1.77
Ireland,IRL,2017,1.318
Italy,ITA,2017,1.559
Japan,JPN,2017,0.746
"Kazakhstan, Rep. of",KAZ,2017,1.752
"Korea, Rep. of",KOR,2017,1.404
Latvia,LVA,2017,1.469
Liechtenstein,LIE,2017,1.782
Lithuania,LTU,2017,1.511
Luxembourg,LUX,2017,1.622
Malta,MLT,2017,1.22
"Netherlands, The",NLD,2017,1.704
New Zealand,NZL,2017,0.549
Norway,NOR,2017,1.578
"Poland, Rep. of",POL,2017,1.433
Portugal,PRT,2017,2.115
Romania,ROU,2017,1.165
Russian Federation,RUS,2017,2.125
Slovak Rep.,SVK,2017,1.253
"Slovenia, Rep. of",SVN,2017,1.765
Spain,ESP,2017,1.973
Sweden,SWE,2017,1.593
Switzerland,CHE,2017,1.781
Turkey,TUR,2017,0.73
Ukraine,UKR,2017,1.401
United Kingdom,GBR,2017,1.437
United States,USA,2017,1.43
World,WLD,2017,1.424
Australia,AUS,2018,1.112
Austria,AUT,2018,2.535
"Belarus, Rep. of",BLR,2018,2.31
Belgium,BEL,2018,2.151
Brazil,BRA,2018,1.168
Bulgaria,BGR,2018,2.228
Canada,CAN,2018,0.491
"China, P.R.: Mainland",CHN,2018,1.35
"Croatia, Rep. of",HRV,2018,2.321
Cyprus,CYP,2018,2.183
Czech Rep.,CZE,2018,2.641
Denmark,DNK,2018,2.115
"Estonia, Rep. of",EST,2018,2.381
Finland,FIN,2018,2.144
France,FRA,2018,1.925
Germany,DEU,2018,2.377
Greece,GRC,2018,1.903
Hungary,HUN,2018,2.565
Iceland,ISL,2018,0.892
Ireland,IRL,2018,0.834
Italy,ITA,2018,1.792
Japan,JPN,2018,0.872
"Kazakhstan, Rep. of",KAZ,2018,0.629
"Korea, Rep. of",KOR,2018,0.887
Latvia,LVA,2018,2.324
Liechtenstein,LIE,2018,2.252
Lithuania,LTU,2018,2.395
Luxembourg,LUX,2018,2.447
Malta,MLT,2018,1.417
"Netherlands, The",NLD,2018,2.11
New Zealand,NZL,2018,1.095
Norway,NOR,2018,1.51
"Poland, Rep. of",POL,2018,2.392
Portugal,PRT,2018,0.863
Romania,ROU,2018,2.278
Russian Federation,RUS,2018,2.04
Slovak Rep.,SVK,2018,2.54
"Slovenia, Rep. of",SVN,2018,2.452
Spain,ESP,2018,1.069
Sweden,SWE,2018,1.849
Switzerland,CHE,2018,2.285
Turkey,TUR,2018,2.584
Ukraine,UKR,2018,2.222
United Kingdom,GBR,2018,1.012
United States,USA,2018,1.273
World,WLD,2018,1.284
Australia,AUS,2019,1.411
Austria,AUT,2019,2.369
"Belarus, Rep. of",BLR,2019,2.65
Belgium,BEL,2019,2.038
Brazil,BRA,2019,1.547
Bulgaria,BGR,2019,2.19
Canada,CAN,2019,1.32
"China, P.R.: Mainland",CHN,2019,1.413
"Croatia, Rep. of",HRV,2019,2.117
Cyprus,CYP,2019,1.589
Czech Rep.,CZE,2019,2.533
Denmark,DNK,2019,2.185
"Estonia, Rep. of",EST,2019,2.183
Finland,FIN,2019,1.436
France,FRA,2019,1.888
Germany,DEU,2019,2.314
Greece,GRC,2019,1.406
Hungary,HUN,2019,2.393
Iceland,ISL,2019,1.396
Ireland,IRL,2019,1.248
Italy,ITA,2019,1.639
Japan,JPN,2019,1.215
"Kazakhstan, Rep. of",KAZ,2019,1.47
"Korea, Rep. of",KOR,2019,1.407
Latvia,LVA,2019,2.428
Liechtenstein,LIE,2019,2.054
Lithuania,LTU,2019,2.601
Luxembourg,LUX,2019,2.143
Malta,MLT,2019,1.243
"Netherlands, The",NLD,2019,2.116
New Zealand,NZL,2019,1.041
Norway,NOR,2019,1.231
"Poland, Rep. of",POL,2019,2.615
Portugal,PRT,2019,1.25
Romania,ROU,2019,2.266
Russian Federation,RUS,2019,2.181
Slovak Rep.,SVK,2019,2.423
"Slovenia, Rep. of",SVN,2019,2.367
Spain,ESP,2019,1.446
Sweden,SWE,2019,1.572
Switzerland,CHE,2019,2.042
Turkey,TUR,2019,1.639
Ukraine,UKR,2019,2.355
United Kingdom,GBR,2019,1.247
United States,USA,2019,1.032
World,WLD,2019,1.449
Australia,AUS,2020,1.404
Austria,AUT,2020,2.32
"Belarus, Rep. of",BLR,2020,3.476
Belgium,BEL,2020,2.528
Brazil,BRA,2020,1.483
Bulgaria,BGR,2020,2.182
Canada,CAN,2020,1.139
"China, P.R.: Mainland",CHN,2020,1.636
"Croatia, Rep. of",HRV,2020,2.024
Cyprus,CYP,2020,1.746
Czech Rep.,CZE,2020,2.331
Denmark,DNK,2020,2.642
"Estonia, Rep. of",EST,2020,3.595
Finland,FIN,2020,3.305
France,FRA,2020,2.411
Germany,DEU,2020,2.499
Greece,GRC,2020,1.366
Hungary,HUN,2020,2.034
Iceland,ISL,2020,0.851
Ireland,IRL,2020,1.117
Italy,ITA,2020,1.825
Japan,JPN,2020,1.382
"Kazakhstan, Rep. of",KAZ,2020,2.832
"Korea, Rep. of",KOR,2020,1.377
Latvia,LVA,2020,3.513
Liechtenstein,LIE,2020,2.352
Lithuania,LTU,2020,3.394
Luxembourg,LUX,2020,2.62
Malta,MLT,2020,1.574
"Netherlands, The",NLD,2020,2.458
New Zealand,NZL,2020,0.833
Norway,NOR,2020,2.421
"Poland, Rep. of",POL,2020,2.631
Portugal,PRT,2020,1.95
Romania,ROU,2020,2.283
Russian Federation,RUS,2020,3.693
Slovak Rep.,SVK,2020,2.03
"Slovenia, Rep. of",SVN,2020,2.26
Spain,ESP,2020,1.972
Sweden,SWE,2020,2.953
Switzerland,CHE,2020,2.448
Turkey,TUR,2020,1.852
Ukraine,UKR,2020,3.014
United Kingdom,GBR,2020,1.383
United States,USA,2020,1.325
World,WLD,2020,1.713
Australia,AUS,2021,0.589
Austria,AUT,2021,1.397
"Belarus, Rep. of",BLR,2021,1.683
Belgium,BEL,2021,1.15
Brazil,BRA,2021,1.167
Bulgaria,BGR,2021,1.795
Canada,CAN,2021,2.536
"China, P.R.: Mainland",CHN,2021,1.714
"Croatia, Rep. of",HRV,2021,1.622
Cyprus,CYP,2021,2.082
Czech Rep.,CZE,2021,1.29
Denmark,DNK,2021,1.691
"Estonia, Rep. of",EST,2021,2.133
Finland,FIN,2021,1.923
France,FRA,2021,1.193
Germany,DEU,2021,1.304
Greece,GRC,2021,1.722
Hungary,HUN,2021,1.482
Iceland,ISL,2021,0.993
Ireland,IRL,2021,1.057
Italy,ITA,2021,1.478
Japan,JPN,2021,1.215
"Kazakhstan, Rep. of",KAZ,2021,1.432
"Korea, Rep. of",KOR,2021,1.56
Latvia,LVA,2021,1.938
Liechtenstein,LIE,2021,1.202
Lithuania,LTU,2021,1.737
Luxembourg,LUX,2021,1.137
Malta,MLT,2021,2.035
"Netherlands, The",NLD,2021,1.285
New Zealand,NZL,2021,0.901
Norway,NOR,2021,1.525
"Poland, Rep. of",POL,2021,1.417
Portugal,PRT,2021,1.213
Romania,ROU,2021,1.497
Russian Federation,RUS,2021,1.64
Slovak Rep.,SVK,2021,1.29
"Slovenia, Rep. of",SVN,2021,1.565
Spain,ESP,2021,1.312
Sweden,SWE,2021,1.85
Switzerland,CHE,2021,1.103
Turkey,TUR,2021,1.93
Ukraine,UKR,2021,1.43
United Kingdom,GBR,2021,0.951
United States,USA,2021,1.166
World,WLD,2021,1.442
